dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
datos_divipola_códigos_municipios_gdxc-w37w.csv,81998,1122,7,zstd -3,23110,3.5482,25.46,33.28
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,brotli -q11,15505,5.3641,1.37,32.55
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,bzip2 -9,15456,5.3811,15.67,31.1
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,feather+lz4,40850,2.036,403.76,697.69
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,feather+zstd,26418,3.1483,326.02,578.51
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,gzip -9,17538,4.7423,19.23,43.16
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,lz4 -9,21802,3.8148,25.12,40.37
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,orc+snappy,29453,2.8239,211.04,302.55
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,orc+zlib,21773,3.8199,105.84,342.34
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,orc+zstd,21152,3.9321,193.8,578.51
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+brotli,19606,4.2421,1.81,139.99
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+gzip,21178,3.9272,44.79,200.72
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+snappy,30586,2.7193,174.68,3.11
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+zstd,20300,4.0971,10.44,267.52
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress,15711,5.2938,2.14,53.69
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress+brotli,15679,5.3046,,
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress+zstd,16507,5.0385,,
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress-turbo,16068,5.1762,2.59,67.58
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,xz -9e,15864,5.2428,5.81,28.73
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,zstd -19,16297,5.1035,3.56,32.11
